STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N
3610,TUBRAHALLI LAKE,LAKE,KARNATAKA,26.0,32.0,3.1,4.9,7.0,8.2,889.0,2210.0,8.0,42.0,0.85,4.4
3611,KAIKONDANAHALLI LAKE,LAKE,KARNATAKA,27.0,29.0,4.1,6.8,7.2,9.0,582.0,1025.0,2.0,12.0,0.76,2.2
3612,AGARAM LAKE,LAKE,KARNATAKA,27.0,29.0,4.9,6.6,7.2,8.8,576.0,1528.0,2.0,11.0,0.6,2.4
3614,PUTTENAHALLI LAKE (S),LAKE,KARNATAKA,27.0,30.0,1.0,6.9,7.0,7.8,598.0,1719.0,4.5,12.0,1.0,15.0
3615,ARAKERE LAKE,LAKE,KARNATAKA,27.0,29.0,1.1,6.9,7.0,8.4,643.0,1727.0,5.0,11.6,1.0,2.3
3616,KALENA AGRAHARA LAKE,LAKE,KARNATAKA,28.0,30.0,2.7,6.5,6.8,8.4,251.0,1313.0,3.9,21.0,0.84,9.9
3617,HULIMAVU LAKE,LAKE,KARNATAKA,27.0,30.0,1.5,6.9,6.9,7.8,607.0,1726.0,4.0,16.0,0.8,14.6
3618,SINGASANDRA LAKE,LAKE,KARNATAKA,25.3,29.0,1.5,6.2,6.8,8.7,544.0,1206.0,2.0,19.0,0.7,3.0
3620,PARAPPANA AGRAHARA LAKE,LAKE,KARNATAKA,25.1,29.0,3.7,6.5,6.2,8.6,425.0,1179.0,3.0,12.0,1.0,3.3
3621,HARALAKUNTE LAKE,LAKE,KARNATAKA,25.0,29.0,5.0,6.9,6.4,8.7,588.0,1540.0,2.0,10.5,1.0,14.3
3622,SOMASUNDRA PALYA LAKE,LAKE,KARNATAKA,25.2,29.0,3.3,5.8,6.7,8.5,547.0,1307.0,3.0,145.0,1.0,8.0
3624,PUTTENAHALLI  LAKE,LAKE,KARNATAKA,27.0,30.0,0.3,5.9,6.5,7.3,218.0,2610.0,6.0,300.0,1.2,10.88
3625,HEBBAL LAKE,LAKE,KARNATAKA,27.0,30.0,3.5,10.2,6.8,7.8,552.0,1400.0,3.0,11.0,0.85,8.81
3627,JAKKUR LAKE,LAKE,KARNATAKA,28.0,32.0,2.2,11.3,7.0,9.4,539.0,1832.0,4.0,24.0,0.32,11.6
3644,MULBHAGAL LAKE,LAKE,KARNATAKA,23.0,35.0,2.5,6.4,7.0,8.9,224.0,3020.0,3.0,37.5,0.38,6.8
3645,DEVARAYASAMUDRA LAKE,LAKE,KARNATAKA,23.0,35.0,1.1,6.3,6.6,9.4,185.0,1832.0,2.0,26.0,0.8,4.55
3646,NARASAPURA LAKE,LAKE,KARNATAKA,24.0,25.0,6.0,7.5,6.6,8.1,206.0,922.0,2.0,5.0,0.45,1.5
3647,HULEDANAHALLI LAKE,LAKE,KARNATAKA,24.0,25.0,6.4,6.6,6.8,7.0,155.0,155.0,2.0,4.0,2.0,4.1
3649,BUGUDANAHALLI LAKE,LAKE,KARNATAKA,24.0,31.0,5.4,7.7,6.8,8.0,121.0,276.0,3.0,3.0,0.18,1.99
3565,PILIKULA TANK,TANK,KARNATAKA,28.0,32.0,6.0,7.0,6.7,7.6,133.0,290.0,1.0,3.0,0.18,2.3
3588,KARANJIKERE,TANK,KARNATAKA,22.0,31.0,5.2,7.0,7.1,8.6,417.0,959.0,3.6,8.4,0.08,3.8
3589,MADIWALA  TANK,TANK,KARNATAKA,27.0,30.0,3.4,7.3,7.0,8.4,446.0,1236.0,2.5,15.0,0.8,10.2
